"place_id","name","neighborhood","latitude","longitude","tags","short_description","emoji"
"place_20","Outer Heaven","Lower East Side",40.72204,-73.99243,"{night_club,bar}","techno club","🔊"
"place_21","Café Lyria","NoHo",40.72585,-73.99543,"{cafe}","laptop cafe","💻"
"place_22","Metrograph","Chinatown",40.71514,-73.99115,"{activity,cafe,night_club,bar,restaurant}","indie cinema & bar","🎬"
"place_23","Please Don't Tell","East Village",40.72714,-73.98374,"{bar,restaurant}","phone booth speakeasy","📞"
"place_24","Tomi Jazz","Midtown East",40.75715,-73.96783,"{bar,night_club,restaurant}","japanese jazz bar","🎷"
"place_25","Elsewhere","Brooklyn",40.70941,-73.92317,"{bar,night_club}","multi-room club","🎵"
"place_26","Jac's on Bond","NoHo",40.72659,-73.99359,"{bar}","cocktail lounge","🍸"
"place_27","Manjul Coffee & Clothing",,40.71945,-74.00084,"{cafe}","coffee & clothes","☕"
"place_28","Thai Diner","Little Italy",40.72071,-73.99565,"{restaurant}","modern thai diner","🍜"
"place_29","Apotheke Chinatown","Chinatown",40.7144,-73.99818,"{night_club,bar}","apothecary bar","🧪"
"place_30","Georgie’s Cafe & Bar",,40.71707,-73.98642,"{cafe}","garden cafe","🌿"
"place_31","Studio 151","Alphabet City",40.72566,-73.97803,"{bar,restaurant}","vinyl sushi bar","🎵"
"place_32","Soothr","East Village",40.7323,-73.98734,"{restaurant}","thai street food","🌶"
"place_33","Eavesdrop","Greenpoint",40.72492,-73.95116,"{bar}","audiophile bar","🎧"
"place_34","Book Club Bar","Alphabet City",40.723,-73.98321,"{book_store,cafe,bar}","books & wine","📚"
"place_35","Win Son Bakery","Brooklyn",40.70724,-73.94297,"{bakery,bar,restaurant}","taiwanese brunch","🥪"
"place_36","usagi","Brooklyn",40.70385,-73.987,"{culture,cafe,book_store}","japanese art cafe","🎨"
"place_37","La Cabra Bakery","East Village",40.72945,-73.98684,"{cafe,bakery}","scandi bakery","🥐"
"place_38","Cafe MSMN",,40.71993,-73.94603,"{cafe}","art cafe & tattoos","🎨"
"place_39","Monsieur",,40.72597,-73.98922,"{bar}","medieval cocktails","🏰"
"place_40","Elvis","NoHo",40.72672,-73.99216,"{bar,restaurant}","french wine bar","🍷"
"place_41","Assembly New York","Lower East Side",40.7215,-73.98753,"{shop}","designer vintage","👕"
"place_42","Parcelle Chinatown","Chinatown",40.71438,-73.99115,"{bar,restaurant}","wine & bites","🍷"
"place_43","OASES Café","Chelsea District",40.73759,-73.99693,"{cafe,bar,restaurant}","fusion cafe","🥪"
"place_44","MONO+MONO","East Village",40.7254,-73.9881,"{cafe,bar,restaurant}","korean fusion bar","🎷"
"place_45","La Cabra","SoHo",40.72431,-73.9962,"{bakery,cafe}","nordic bakery","🥐"
"place_46","Mắm","Chinatown",40.71705,-73.99328,"{restaurant}","street vietnamese","🍜"
"place_47","Rule of Thirds","Greenpoint",40.72475,-73.95503,"{restaurant,bar}","japanese dining","🍶"
"place_48","Dead Letter No. 9","Brooklyn",40.7161,-73.96484,"{night_club,bar,restaurant}","immersive theater bar","🎭"
"place_49","colbo","Chinatown",40.71656,-73.99124,"{cafe}","boutique & cafe","☕"
"place_50","Kiki's","Chinatown",40.71455,-73.99186,"{restaurant}","greek taverna","🫒"
"place_51","Librae Bakery","East Village",40.72812,-73.99075,"{bakery}","bakery & roastery","🥐"
"place_52","Raku","SoHo",40.72725,-74.00255,"{restaurant}","slurp-worthy udon","🍜"
"place_53","Radio Bakery","Greenpoint",40.73239,-73.95507,"{bakery}","artisanal bakery","🥖"
"place_54","L'Appartement 4F","Brooklyn Heights",40.69521,-73.99478,"{bakery,bar}","french bakery","🥐"
"place_55","Misi","Brooklyn",40.7134,-73.96719,"{restaurant}","handmade pasta","🍝"
"place_56","Philip Williams Posters","Tribeca",40.71516,-74.00871,"{culture,shop}","vintage posters","🖼"
"place_57","The Metropolitan Museum of Art","Manhattan",40.77944,-73.96324,"{culture}","art museum","🏛"
"place_58","Fish Cheeks","NoHo",40.72571,-73.99268,"{restaurant}","thai seafood","🐟"
"place_59","Birds of a Feather","Brooklyn",40.71434,-73.96051,"{restaurant}","szechuan noodles","🌶"
"place_60","The Museum of Modern Art","Midtown",40.76143,-73.97762,"{culture}","modern art museum","🎨"
"place_61","Devoción","Brooklyn",40.71607,-73.96466,"{cafe}","colombian coffee","☕"
"place_62","Sunday Morning",,40.7224,-73.98284,"{bakery,cafe}","cinnamon rolls","🧁"
"place_63","RHYTHM ZERO | GREENPOINT","Greenpoint",40.73018,-73.96,"{cafe}","coffee & matcha","☕"
"place_64","The Four Horsemen","Brooklyn",40.71306,-73.95732,"{restaurant,bar}","natural wine & plates","🍷"
"place_65","Lilia","Brooklyn",40.71754,-73.95242,"{restaurant}","italian pasta","🍝"
"place_66","The Center for Fiction","Fort Greene",40.68694,-73.97852,"{book_store,cafe,bar,culture}","book cafe","📚"
"place_67","Antidote","Brooklyn",40.71425,-73.96545,"{nature,bar,restaurant}","modern szechuan","🌶"
"place_68","Breakfast by Salt's Cure","West Village",40.73117,-74.00447,"{restaurant}","griddle cakes","🥞"
"place_69","Sauced","Brooklyn",40.71263,-73.96228,"{bar}","natural wine bar","🍷"
"place_70","Ume","Brooklyn",40.71655,-73.96552,"{restaurant}","floor omakase","🍱"
"place_71","Don Angie","West Village",40.7378,-74.00209,"{restaurant}","italian-american","🍝"
"place_72","Overstory","Financial District",40.7065,-74.00777,"{bar}","rooftop cocktails","🌃"
"place_73","SEY Coffee","Brooklyn",40.70532,-73.93242,"{cafe}","light roast coffee","☕"
"place_74","Sullaluna","West Village",40.73019,-74.00368,"{book_store,restaurant}","books & wine bar","📚"
"place_75","Buvette","West Village",40.73263,-74.00433,"{bar,cafe,restaurant}","french bistro","🥖"
"place_76","COQODAQ","Flatiron District",40.74006,-73.98875,"{restaurant}","korean fried chicken","🍗"
"place_77","Rubirosa","Little Italy",40.72274,-73.99613,"{restaurant}","italian-american","🍕"
"place_78","Golden Diner","Two Bridges",40.71243,-73.9941,"{restaurant}","asian diner","🥞"
"place_79","Caffè Panna","Gramercy",40.73701,-73.98675,"{cafe}","artisanal gelato","🍦"
"place_80","L'Artusi","West Village",40.73378,-74.00514,"{bar,restaurant}","italian wine bar","🍝"
"place_81","Katana Kitten","West Village",40.73425,-74.00649,"{bar,restaurant}","asian cocktails","🏮"
"place_82","Mei Lai Wah","Chinatown",40.71549,-73.99789,"{bakery,restaurant}","pineapple buns","🥖"
"place_83","Sip&Guzzle","West Village",40.73148,-74.00249,"{restaurant,bar}","japanese cocktails","🍸"
"place_84","The Noguchi Museum","Queens",40.76681,-73.93805,"{culture}","sculpture garden","🗿"
"place_85","Davelle","Lower East Side",40.71854,-73.98607,"{cafe,restaurant}","japanese cafe","🍵"
"place_86","St Jardim","West Village",40.73438,-74.00285,"{bar,cafe,restaurant}","cafe to wine bar","🍷"
"place_87","Gem Wine","Lower East Side",40.71912,-73.99216,"{bar}","wine & bites","🍷"
"place_88","Taqueria Ramirez","Greenpoint",40.72787,-73.95696,"{restaurant}","mexico city tacos","🌮"
"place_89","Scarr's Pizza","Chinatown",40.71572,-73.99161,"{restaurant}","pizza & natty wine","🍕"
"place_90","The High Line","Chelsea District",40.74799,-74.00476,"{nature}","elevated park","🌳"
"place_91","Cho Dang Gol","Midtown South",40.75025,-73.98625,"{restaurant}","korean tofu house","🥘"
"place_92","Place des Fêtes","Brooklyn",40.68681,-73.96287,"{restaurant,bar}","wine & tapas","🍷"
"place_93","le gaz","Chinatown",40.71512,-73.99192,"{cafe}","vietnamese cafe","☕"
"place_94","COTE Korean Steakhouse","Flatiron District",40.7413,-73.99125,"{bar,restaurant}","korean steakhouse","🥩"
"place_95","Via Carota","West Village",40.73314,-74.00367,"{restaurant}","italian trattoria","🍝"
"place_96","The Morgan Library & Museum","Murray Hill",40.74923,-73.9814,"{culture}","rare books & art","📚"
"place_97","Clinton St. Baking Company","Lower East Side",40.72126,-73.98385,"{bakery,restaurant}","pancake house","🥞"
"place_98","The Bar on Mulberry LLC","Little Italy",40.72282,-73.99573,"{bar,night_club}","soho lounge","🎵"
"place_99","Lucali","Brooklyn",40.68183,-74.00032,"{restaurant}","brick-oven pizza","🍕"
"place_100","Shukette","Chelsea District",40.74715,-74.00052,"{restaurant}","middle eastern mezze","🫔"
"place_101","LOS TACOS No.1","Theater District",40.75732,-73.98765,"{restaurant}","street tacos","🌮"
"place_102","Whitney Museum of American Art","Meatpacking District",40.73959,-74.00886,"{culture}","contemporary museum","🎨"
"place_103","Prince Street Pizza","Little Italy",40.72308,-73.99454,"{restaurant}","square pizza","🍕"
"place_104","Attaboy","Lower East Side",40.71888,-73.99138,"{bar}","craft cocktails","🍸"
"place_105","Mama's TOO! Upper West Side","Bloomingdale",40.80083,-73.96759,"{restaurant}","pizza slices","🍕"
"place_106","Chelsea Market","Chelsea District",40.74244,-74.00614,"{destination}","food market","🏪"
"place_107","Sorate","SoHo",40.72562,-74.00282,"{destination}","matcha bar","🍵"
"place_108","Land to Sea","Brooklyn",40.71684,-73.94456,"{cafe,bar}","cafe & bar","☕"
"place_109","Central Park","Manhattan",40.78255,-73.96558,"{nature}","central park","🌳"
"place_110","NBetween","Chelsea District",40.74273,-74.00695,"{bar}","japanese vinyl bar","🎧"
"place_111","Twins Lounge","Greenpoint",40.72632,-73.95199,"{bar}","pool & disco bar","🎱"
"place_112","KIJITORA","Brooklyn",40.71658,-73.95738,"{cafe}","japanese cat cafe","🐱"
"place_113","Record Room","Queens",40.74582,-73.95671,"{bar}","vinyl cocktails","💿"
"place_114","Torrisi","Little Italy",40.72427,-73.9954,"{restaurant}","upscale italian","🍝"
"place_115","Albertine","Upper East Side",40.77672,-73.96372,"{book_store,shop}","french books","📚"
"place_116","The Back Room","Lower East Side",40.71876,-73.987,"{bar}","prohibition speakeasy","🎷"
"place_117","DASHI OKUME Brooklyn","Greenpoint",40.72468,-73.95365,"{bar,restaurant}","japanese breakfast","🍱"
"place_118","Strand Book Store","East Village",40.73325,-73.99095,"{book_store,shop}","multi-level books","📚"
"place_119","Moonflower","West Village",40.73658,-74.00148,"{bar}","natural wine bar","🍷"
"place_120","Dominique Ansel Bakery","SoHo",40.72525,-74.00287,"{bakery,cafe,restaurant}","french pastries","🥐"
"place_121","The Clock Coffee Shop","Midtown East",40.75356,-73.97814,"{cafe,restaurant}","work-friendly cafe","💻"
"place_122","Bar Orai","Turtle Bay",40.75661,-73.96931,"{bar}","japanese whiskey bar","🥃"
"place_123","PUBLIC Hotel","Lower East Side",40.72311,-73.99209,"{lodging}","rooftop hotel","🏨"
"place_124","Jeju Noodle Bar","West Village",40.73299,-74.00734,"{restaurant}","upscale korean noods","🍜"
"place_125","Quarters","Tribeca",40.71821,-74.00308,"{shop}","furniture cafe","🪑"
"place_126","Time Out Market New York","Brooklyn",40.70342,-73.99215,"{restaurant,bar}","food hall & views","🌆"
"place_127","Bubby's","Tribeca",40.71982,-74.00838,"{bakery,bar,restaurant}","southern brunch","🥞"
"place_128","Solomon R. Guggenheim Museum","Carnegie Hill",40.78298,-73.95897,"{culture}","spiral museum","🌀"
"place_129","Carousel","Bushwick",40.70585,-73.92214,"{bar}","retro lounge","🎱"
"place_130","Popup Bagels","Greenwich Village",40.72792,-74.00025,"{bakery}","fresh bagels","🥯"
"place_131","Katz's Delicatessen","Lower East Side",40.72223,-73.98743,"{restaurant}","jewish deli","🥪"
"place_132","MáLà Project","East Village",40.72714,-73.98542,"{bar,restaurant}","szechuan hot pot","🌶"
"place_133","Good Room","Greenpoint",40.72694,-73.95291,"{night_club}","edm club","🔊"
"place_134","Café-Flor / Bar 21","Chelsea District",40.74403,-73.99911,"{cafe,bar}","floral cafe-bar","🌸"
"place_135","Jean's","NoHo",40.72854,-73.99212,"{restaurant,night_club,bar}","bistro & club","🍽"
"place_136","929","Queens",40.74898,-73.94065,"{bar}","taiwanese cocktails","🍸"
"place_137","Bemelmans Bar","Upper East Side",40.77442,-73.96316,"{bar}","piano jazz bar","🎹"
"place_138","American Museum of Natural History","Upper West Side",40.78132,-73.97399,"{culture}","natural history museum","🦕"
"place_139","Kisa","Lower East Side",40.72275,-73.98908,"{restaurant}","korean comfort food","🥘"
"place_140","Salon 94","Carnegie Hill",40.78343,-73.95833,"{culture}","art gallery","🎨"
"place_141","Baby Blues Luncheonette","Brooklyn",40.70728,-73.94579,"{restaurant}","greek diner","🇬"
"place_142","Remi43 Flower & Coffee","Turtle Bay",40.75062,-73.97133,"{cafe}","floral cafe","🌸"
"place_143","Gem Home",,40.7207,-73.99609,"{cafe}","scandi cafe","☕"
"place_144","Sake Bar Decibel","East Village",40.7293,-73.98775,"{bar}","sake speakeasy","🍶"
"place_145","Apollo Bagels","East Village",40.72875,-73.98479,"{bakery}","sourdough bagels","🥯"
"place_146","NUBIANI","Midtown South",40.74699,-73.98541,"{restaurant}","korean bbq","🥩"
"place_147","Eyval","Brooklyn",40.70414,-73.93316,"{restaurant}","persian tapas","🧆"
"place_148","Grace Street Coffee & Desserts","Koreatown",40.74772,-73.98653,"{cafe,bakery,restaurant}","korean desserts","🍨"
"place_149","Casino","Two Bridges",40.71391,-73.9897,"{restaurant}","italian hideaway","🍝"
"place_150","Paquita","West Village",40.73368,-74.00571,"{shop}","tea & antiques","🫖"
"place_151","Little Island","Manhattan",40.742,-74.0103,"{nature}","elevated park","🌳"
"place_152","Taku Sando","Greenpoint",40.72988,-73.95964,"{restaurant}","katsu sandos","🥪"
"place_153","10 ft Single by Stella Dallas","Brooklyn",40.71445,-73.95353,"{shop}","vintage warehouse","👕"
"place_154","Nowadays","Ridgewood",40.69246,-73.90154,"{bar,restaurant}","warehouse dance bar","🔊"
"place_155","Reception Bar","Chinatown",40.71636,-73.99136,"{bar,night_club}","korean cocktails","🍸"
"place_156","Shu Jiao Fu Zhou","Chinatown",40.71741,-73.99209,"{restaurant}","handmade dumplings","🥟"
"place_157","Chinese Tuxedo","Chinatown",40.71433,-73.99804,"{restaurant}","modern chinese","🥢"
"place_158","ARIARI","East Village",40.72727,-73.98583,"{restaurant}","korean seafood tapas","🐙"
"place_159","Mr. Melo","Brooklyn",40.717,-73.95012,"{bar}","vinyl cocktails","💿"
"place_160","Bonnie's","Brooklyn",40.71781,-73.94644,"{restaurant}","modern cantonese","🥢"
"place_161","Magnolia Bakery","West Village",40.73589,-74.00495,"{bakery,restaurant}","famous banana pudding","🍮"
"place_162","Thai Villa","Chelsea",40.739,-73.99067,"{restaurant}","upscale thai","🌶"
"place_163","Theodora","Fort Greene",40.68606,-73.97311,"{restaurant}","mediterranean grill","🔥"
"place_164","New York Public Library - Stephen A. Schwarzman Building","Midtown South",40.75318,-73.98225,"{culture}","historic library","📚"
"place_165","C as in Charlie","NoHo",40.7255,-73.9927,"{restaurant}","korean-southern fusion","🌶"
"place_166","Her Name is Han","Midtown South",40.74625,-73.98476,"{restaurant}","modern korean","🥘"
"place_167","Fotografiska NYC","Flatiron District",40.73922,-73.98672,"{culture}","photo gallery","📸"
"place_168","Duo Cafe","East Village",40.72743,-73.98992,"{shop}","chinese tea & treats","🫖"
"place_169","Pause Cafe","Lower East Side",40.72122,-73.98409,"{cafe,restaurant}","moroccan cafe","🍯"
"place_170","Little Sister Lounge","East Village",40.73164,-73.98956,"{night_club,bar}","hip hop club","💃"
"place_171","Nook","Bushwick",40.70502,-73.9246,"{cafe,bar,restaurant}","creative coffeehouse","☕"
"place_172","Semma","West Village",40.73603,-74.00056,"{restaurant}","upscale south indian","🍛"
"place_173","OLIO E PIÙ","West Village",40.73382,-73.99979,"{restaurant}","italian trattoria","🍝"
"place_174","From Lucie","East Village",40.72853,-73.98326,"{bakery}","floral cakes","🌸"
"place_175","Nami Nori West Village","West Village",40.73029,-74.00325,"{restaurant}","temaki bar","🍱"
"place_176","Atelier Jolie","NoHo",40.7264,-73.99236,"{destination}","turkish cafe","☕"
"place_177","Pranakhon","Greenwich Village",40.73375,-73.99326,"{restaurant}","modern thai","🌶"
"place_178","Rolo’s","Ridgewood",40.70194,-73.90354,"{bar,restaurant}","burgers & martinis","🍸"
"place_179","Kettl Tea","Greenpoint",40.72962,-73.95814,"{bakery,cafe,restaurant}","matcha tea house","🍵"
"place_180","Moono","Midtown South",40.74644,-73.98331,"{restaurant}","modern korean","🍶"
"place_181","Hi-Collar","East Village",40.72958,-73.98783,"{bar,restaurant}","cafe to izakaya","🍶"
"place_182","Patent Pending","NoMad",40.74532,-73.99027,"{bar}","electric speakeasy","⚡"
"place_183","niconeco zakkaya","East Village",40.7285,-73.98323,"{shop}","japanese stationery","✏"
"place_184","Tokio 7","East Village",40.72726,-73.98614,"{shop}","designer consignment","👗"
"place_185","PPL","Brooklyn",40.71286,-73.95846,"{cafe}","plant cafe","🌿"
"place_186","konban NYC","Chelsea District",40.74202,-74.00157,"{restaurant}","modern izakaya","🍶"
"place_187","Milk & Roses","Greenpoint",40.73743,-73.95507,"{cafe,bar,restaurant}","italian cafe & jazz","🎷"
"place_188","4 Charles Prime Rib","West Village",40.73514,-74.00065,"{restaurant}","steakhouse & cocktails","🥩"
"place_189","Laser Wolf Brooklyn","Brooklyn",40.72083,-73.95879,"{restaurant}","rooftop israeli","🌆"
"place_190","Good Thanks Cafe","Lower East Side",40.71974,-73.98951,"{cafe,bar,restaurant}","brunch cafe","🍳"
"place_191","Pastis","West Village",40.73924,-74.00701,"{restaurant,bar}","french bistro","🥖"
"place_192","Ye's Apothecary 夜莺","Lower East Side",40.71946,-73.98983,"{bar,restaurant}","szechuan speakeasy","🍸"
"place_193","Cha-An","East Village",40.72941,-73.98817,"{cafe,restaurant}","japanese tea house","🍵"
"place_194","ACRE","Greenpoint",40.72628,-73.9547,"{restaurant}","japanese cafe","🍱"
"place_195","OKONOMI Brooklyn","Brooklyn",40.71253,-73.94878,"{restaurant}","japanese breakfast","🍱"
"place_196","Tokyo Record Bar","Greenwich Village",40.73064,-74.00013,"{restaurant}","vinyl izakaya","🎵"
"place_197","Jua","Flatiron District",40.73968,-73.98785,"{restaurant}","korean tasting menu","🍶"
"place_198","Butterdose","East Village",40.73191,-73.98627,"{bakery,cafe}","japanese bakery","🍵"
"place_199","Do Not Feed Alligators","West Village",40.73369,-74.00424,"{cafe,book_store,bar}","cafe & books","📚"
"place_200","Sweet Pickle Books","Chinatown",40.71649,-73.99129,"{book_store,shop}","pickle books","📚"
"place_201","Ornithology Jazz Club","Brooklyn",40.69559,-73.93198,"{night_club,bar}","live jazz club","🎷"
"place_202","SALSWEE","Flatiron District",40.74128,-73.99011,"{shop}","pastries & lattes","🥐"
"place_203","Wayan","Little Italy",40.72137,-73.99509,"{restaurant}","indo-french fusion","🍜"
"place_204","Maison Premiere","Brooklyn",40.71427,-73.96166,"{bar,restaurant}","nola oyster bar","🦪"
"place_205","Oxomoco","Greenpoint",40.72982,-73.95548,"{restaurant}","upscale mexican","🌮"
"place_206","Angel’s Share","West Village",40.73298,-74.00426,"{bar}","hidden speakeasy","🍸"
"place_207","The Portrait Bar","NoMad",40.74508,-73.98773,"{bar}","refined cocktails","🍸"
"place_208","Little Ruby's SoHo","Little Italy",40.72233,-73.99625,"{restaurant}","aussie cafe & bistro","🦘"
"place_209","Raku","East Village",40.72649,-73.98668,"{restaurant}","homemade udon","🍜"
"place_210","St. Mazie Bar & Supper Club","Brooklyn",40.7126,-73.95585,"{bar,restaurant}","jazz lounge","🎷"
"place_211","Sadelle's New York","SoHo",40.72627,-74.00017,"{restaurant}","bagels & lox","🥯"
"place_212","June","Brooklyn",40.68606,-73.99389,"{bar,restaurant}","natural wine & tapas","🍷"
"place_213","Brooklyn Museum","Brooklyn",40.67121,-73.96363,"{culture}","art museum","🎨"
"place_214","McNally Jackson Books SoHo","SoHo",40.72542,-74.00069,"{book_store,shop}","bookstore & cafe","📚"
"place_215","Conwell Coffee Hall","Financial District",40.70544,-74.00914,"{cafe}","bank cafe & bar","☕"
"place_216","Ask For Janice","Greenpoint",40.72423,-73.95072,"{bar}","hidden speakeasy","🥃"
"place_217","Le Bain","Meatpacking District",40.74082,-74.00797,"{night_club,bar}","rooftop disco","💃"
"place_218","Ariston Coffee Bar","Greenwich Village",40.73582,-73.99418,"{cafe}","flower cafe","🌸"
"place_219","TOKUYAMATCHA & ONIGIRAZU BAR","Alphabet City",40.72399,-73.98018,"{restaurant}","onigiri & matcha","🍙"
"place_220","Win Son","Brooklyn",40.70747,-73.9435,"{restaurant}","taiwanese-american","🥟"
"place_221","Lysée","Flatiron District",40.73913,-73.9882,"{shop}","korean-french pastries","🍰"
"place_222","Potluck Club","Lower East Side",40.7196,-73.99359,"{restaurant}","hk fusion","🥢"
"place_223","ROOME","Lower East Side",40.71725,-73.99033,"{shop}","asian fashion","👗"
"place_224","Wayla","Lower East Side",40.71829,-73.9926,"{nature,restaurant}","thai basement","🌶"
"place_225","Ponyboy","Greenpoint",40.72398,-73.95079,"{bar,restaurant}","tapas dance club","💃"
"place_226","La Bicyclette Bakery","Brooklyn",40.71439,-73.95906,"{bakery}","artisanal bakery","🥖"
"place_227","Round K by","Chinatown",40.71508,-73.99315,"{cafe,bar,restaurant}","offbeat cafe","☕"
"place_228","Mama's TOO! Pizzeria West Village","West Village",40.73329,-74.00404,"{restaurant}","square pizza","🍕"
"place_229","Russ & Daughters","Lower East Side",40.72258,-73.98831,"{bakery,restaurant}","jewish deli","🥯"
"place_230","Super Taste","Chinatown",40.71507,-73.99334,"{restaurant}","hand-pulled noodles","🥟"
"place_231","Bar Pisellino","West Village",40.73293,-74.00346,"{bar,restaurant}","italian cafe & cocktails","🍸"
"place_232","Devoción","Flatiron District",40.73911,-73.98911,"{cafe}","colombian coffee","☕"
"place_233","Ho Foods","East Village",40.72629,-73.98483,"{restaurant}","taiwanese breakfast spot","🥢"
"place_234","Miss Ada","Fort Greene",40.68943,-73.97237,"{restaurant}","israeli mezze","🫔"
"place_235","Nightmoves","Brooklyn",40.71312,-73.95728,"{bar}","dance club","💃"
"place_236","uluh","East Village",40.72935,-73.98661,"{restaurant}","sichuan fusion","🌶"
"place_237","Other People's Clothes","Bushwick",40.70517,-73.92445,"{shop}","thrift boutique","👕"
"place_238","Carbone New York","Greenwich Village",40.72799,-74.00024,"{restaurant}","italian pasta","🍝"
"place_239","Waverly Inn","West Village",40.73694,-74.00224,"{restaurant}","upscale comfort food","🍽"
"place_240","Bangkok Supper Club","West Village",40.73905,-74.00574,"{bar,restaurant}","modern thai","🌶"
"place_241","Clemente Bar",,40.74163,-73.98707,"{bar,restaurant}","japanese speakeasy","🍸"
"place_242","Superbueno","East Village",40.72345,-73.98857,"{bar}","mexican cocktails","🌵"
"place_243","canteenM","Lower East Side",40.72062,-73.99347,"{cafe}","laptop cafe","💻"
"place_244","Peachy's","Chinatown",40.71433,-73.99804,"{bar}","chinatown lounge","🎋"
"place_245","Monkey Bar","Midtown East",40.7599,-73.9732,"{restaurant}","retro american diner","🍽"
"place_246","Tatiana by Kwame Onwuachi","Lincoln Square",40.77279,-73.9831,"{restaurant}","afro-caribbean fusion","🌴"
"place_247","WatchHouse 5th Ave.","Midtown",40.76023,-73.97701,"{cafe}","modern cafe","☕"
"place_248","Martiny’s","Union Square",40.73614,-73.98775,"{bar}","martini house","🍸"
"place_249","Brooklyn Bridge","Manhattan",40.70609,-73.99686,"{destination}","historic bridge","🌉"
"place_250","November 19 Shop","Chinatown",40.71582,-73.99153,"{shop}","home goods & gifts","🏺"
"place_251","Partners Coffee — Cafe & Roastery","Brooklyn",40.71801,-73.95917,"{cafe}","laptop cafe","💻"
"place_252","Mountain House East Village 川山甲","East Village",40.72912,-73.98858,"{restaurant}","szechuan seafood","🌶"
"place_253","Supermoon Bakehouse","Lower East Side",40.71985,-73.98724,"{bakery}","creative bakery","🥐"
"place_254","Lovers of Today","Alphabet City",40.72583,-73.98342,"{night_club,bar}","jazz lounge","🎷"
"place_255","Culture Espresso","Midtown South",40.75207,-73.98574,"{cafe,bakery}","cookies & coffee","🍪"
"place_256","L’industrie Pizzeria West Village","West Village",40.73322,-74.00491,"{restaurant}","thin crust pizza","🍕"
"place_257","Semicolon Cafe","Murray Hill",40.74621,-73.9781,"{cafe}","minimalist cafe","🥪"
"place_258","Dante NYC","Greenwich Village",40.72884,-74.00164,"{cafe,bar,restaurant}","italian cafe & bar","🍸"
"place_259","Wah Fung No.1 Fast Food","Chinatown",40.71732,-73.99446,"{restaurant}","chinatown roast meats","🍖"
"place_260","Bungee Space","Lower East Side",40.72243,-73.99235,"{book_store,culture,cafe}","books & fashion cafe","📚"
"place_261","Mercer Labs","Financial District",40.71048,-74.01059,"{culture}","immersive art","🎨"
"place_262","Raoul's","SoHo",40.72618,-74.00213,"{restaurant}","french bistro","🥖"
"place_263","La Noxe","Flower District",40.74703,-73.99307,"{bar}","subway speakeasy","🍸"
"place_264","I Sodi","West Village",40.73279,-74.00405,"{restaurant}","tuscan pasta","🍝"
"place_265","Dante West Village","West Village",40.7352,-74.00625,"{bar,restaurant}","italian seafood bar","🍸"
"place_266","Nura","Greenpoint",40.72472,-73.9535,"{bar,restaurant}","mediterranean brunch","🫒"
"place_267","TONCHIN NEW YORK","Midtown South",40.75027,-73.98452,"{bar,restaurant}","tokyo ramen","🍜"
"place_268","Little Branch","West Village",40.73012,-74.00504,"{bar}","jazz speakeasy","🎷"
"place_269","Museum of the Moving Image","Queens",40.75635,-73.92395,"{culture,activity}","film museum","🎬"
"place_270","Lê Phin","East Village",40.72851,-73.98349,"{cafe}","vietnamese cafe","🍵"
"place_271","Fresh Kills Bar","Brooklyn",40.71472,-73.96156,"{bar}","bespoke cocktails","🍸"
"place_272","Coby Club","Chelsea District",40.742,-73.99756,"{bar,night_club}","jazz speakeasy","🎷"
"place_273","Ci Siamo","Hudson Yards",40.75255,-73.99893,"{restaurant,bar,night_club}","italian wine bar","🍷"
